CustomerID,Recency,Frequency,Monetary,Return_Rate,Cluster
12346.0,326,2,0.0,100.0,1
12347.0,2,7,4310.0,0.0,0
12348.0,75,4,1797.24,0.0,0
12349.0,19,1,1757.55,0.0,0
12350.0,310,1,334.4,0.0,1
12352.0,36,11,1545.41,38.332588466265506,0
12353.0,204,1,89.0,0.0,1
12354.0,232,1,1079.4,0.0,1
12355.0,214,1,459.4,0.0,1
12356.0,23,3,2811.43,0.0,0
12357.0,33,1,6207.67,0.0,0
12358.0,2,2,1168.06,0.0,0
12359.0,8,6,6245.53,1.9936979998681852,0
12360.0,52,3,2662.06,0.0,0
12361.0,287,1,189.9,0.0,1
12362.0,3,13,5154.58,1.3709691307118137,0
12363.0,110,2,552.0,0.0,0
12364.0,8,4,1313.1,0.0,0
12365.0,291,3,320.69,50.0,1
12367.0,4,1,168.9,0.0,0
12370.0,51,4,3545.69,0.0,0
12371.0,45,2,1887.96,0.0,0
12372.0,72,3,1298.04,0.0,0
12373.0,311,1,364.6,0.0,1
12374.0,25,1,742.9300000000001,0.0,0
12375.0,3,3,455.42,0.4546448087431694,0
12377.0,315,2,1628.12,0.0,1
12378.0,130,1,4008.62,0.0,0
12379.0,82,3,850.29,0.22880878625739226,0
12380.0,22,5,2720.56,0.15597417801608188,0
12381.0,5,6,1803.96,2.240815906270491,0
12383.0,185,6,1839.31,0.6079240878436798,1
12384.0,29,3,566.16,3.265159669895946,0
12386.0,338,2,401.9,0.0,1
12388.0,16,6,2780.66,0.0,0
12390.0,80,1,549.84,0.0,0
12391.0,22,1,460.89,0.0,0
12393.0,72,4,1582.6000000000001,0.0,0
12394.0,64,2,1272.48,0.0,0
12395.0,16,15,2998.28,0.6741468812010747,0
12397.0,36,2,2409.9,0.0,0
12398.0,46,1,1635.6599999999999,0.0,0
12399.0,119,4,1108.65,0.0,0
12401.0,303,1,84.3,0.0,1
12402.0,323,1,225.6,0.0,1
12403.0,50,2,409.7,4.208557400046762,0
12405.0,149,1,1710.39,0.0,1
12406.0,22,3,3280.75,3.9396246303399414,0
12407.0,50,5,1708.1200000000001,0.0,0
12408.0,33,9,2842.57,1.5918021152481348,0
12409.0,79,7,11056.93,0.14215180259142557,0
12410.0,301,3,681.0799999999999,1.7668354174779688,1
12412.0,75,3,1226.88,0.0,0
12413.0,67,5,694.15,8.435562590687244,0
12414.0,217,3,562.41,0.0,1
12415.0,24,26,123725.45,0.9519148813192508,3
12417.0,3,12,3578.8,1.9265024252555423,0
12418.0,113,1,668.58,0.0,0
12420.0,64,1,600.39,0.0,0
12421.0,16,5,806.27,0.09541038858049168,0
12422.0,96,3,803.5600000000001,0.0,0
12423.0,1,9,1849.11,0.5485906061926198,0
12424.0,163,2,1760.96,0.0,1
12425.0,78,1,777.2,0.0,0
12426.0,195,1,582.73,0.0,1
12427.0,12,5,708.37,14.220150157423106,0
12428.0,26,12,7877.2,0.9961716642828595,0
12429.0,9,4,3750.4,0.0,0
